_id,incident_id,occurred_date,title,summary,deployer,developer,harmed_parties,reports,year,text,application_type,incident_type,customer_segment,severity_level,regulatory_investigation,fine_imposed,policy_change,third_party_audit
ObjectId(625763dd343edc875fe63a08),10,2014-08-14,Kronos Scheduling Algorithm Allegedly Caused Financial Issues for Starbucks Employees,"Kronos’s scheduling algorithm and its use by Starbucks managers allegedly negatively impacted financial and scheduling stability for Starbucks employees, which disadvantaged wage workers.","[""starbucks""]","[""kronos""]","[""starbucks-employees""]","[16,17,18,19,20,21,22,23,24,25]",2014,"kronos scheduling algorithm allegedly caused financial issues for starbucks employees kronos’s scheduling algorithm and its use by starbucks managers allegedly negatively impacted financial and scheduling stability for starbucks employees, which disadvantaged wage workers.",other_finance,other,general,low,0,0,0,0
ObjectId(625763df343edc875fe63a1a),28,2010-05-08,2010 Market Flash Crash,A modified algorithm was able to cause dramatic price volatility and disrupted trading in the US stock exchange.,"[""navinder-sarao"",""waddell-and-reed"",""barclays-capital""]","[""navinder-sarao"",""waddell-and-reed"",""barclays-capital""]","[""market-participants""]","[390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419]",2010,2010 market flash crash a modified algorithm was able to cause dramatic price volatility and disrupted trading in the us stock exchange.,algorithmic_trading,operational_failure,general,low,0,0,0,0
ObjectId(625763e1343edc875fe63a33),53,2016-03-31,Biased Google Image Results,"On June 6, 2016, Google image searches of ""three black teenagers"" resulted in mostly mugshot images whereas Google image searchers of ""three white teenagers"" consisted of mostly stock images, suggesting a racial bias in Google's algorithm.","[""google""]","[""google""]","[""minority-groups""]","[991,992,994,995,996,997,998,999,1000,1001,1002,1003,1004,1005,1006,1350,1351,1352]",2016,"biased google image results on june 6, 2016, google image searches of ""three black teenagers"" resulted in mostly mugshot images whereas google image searchers of ""three white teenagers"" consisted of mostly stock images, suggesting a racial bias in google's algorithm.",other_finance,algorithmic_bias,general,low,0,0,0,0
ObjectId(625763e2343edc875fe63a37),57,2015-07-01,Australian Automated Debt Assessment System Issued False Notices to Thousands,"Australian Department of Human Services (DHS)’s automated debt assessment system issued false or incorrect debt notices to hundreds of thousands of people, resulting in years-long lawsuits and damages to welfare recipients.","[""australian-department-of-human-services""]","[""centrelink""]","[""australian-welfare-recipients""]","[1048,1049,1050,1051,1052,1054,1055,1056,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1346,1437,1618,1619,2369,2372,2373,2374,2375,2419]",2015,"australian automated debt assessment system issued false notices to thousands australian department of human services (dhs)’s automated debt assessment system issued false or incorrect debt notices to hundreds of thousands of people, resulting in years-long lawsuits and damages to welfare recipients.",other_finance,other,sme,high,0,0,0,0
ObjectId(625763e5343edc875fe63a59),92,2019-11-11,Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women,"Apple Card's credit assessment algorithm was reported by Goldman-Sachs customers to have shown gender bias, in which men received significantly higher credit limits than women with equal credit qualifications.","[""goldman-sachs""]","[""apple""]","[""apple-card-female-users"",""apple-card-female-credit-applicants""]","[1393,1396,2035,2036,2037,2274]",2019,"apple card's credit assessment algorithm allegedly discriminated against women apple card's credit assessment algorithm was reported by goldman-sachs customers to have shown gender bias, in which men received significantly higher credit limits than women with equal credit qualifications.",other_finance,algorithmic_bias,sme,low,0,0,0,0
ObjectId(625763e6343edc875fe63a61),100,2021-03-17,How French welfare services are creating ‘robo-debt’,A French welfare office using software to automatically evaluate cases incorrectly notified a woman receiving benefits that she owed €542.,"[""french-welfare-offices""]","[""unknown""]","[""lucie-inland""]",[1403],2021,how french welfare services are creating ‘robo-debt’ a french welfare office using software to automatically evaluate cases incorrectly notified a woman receiving benefits that she owed €542.,other_finance,other,general,low,0,0,0,0
ObjectId(625763ec343edc875fe63a95),152,2021-07-13,"SoftBank's Humanoid Robot, Pepper, Reportedly Frequently Made Errors, Prompting Dismissal","SoftBank's robot allegedly kept making mechanical errors, taking unplanned breaks, failing to recognize previously-met people, and breaking down during practice runs.","[""softbank""]","[""aldebaran"",""softbank-robotics""]","[""softbank""]","[1509,1510]",2021,"softbank's humanoid robot, pepper, reportedly frequently made errors, prompting dismissal softbank's robot allegedly kept making mechanical errors, taking unplanned breaks, failing to recognize previously-met people, and breaking down during practice runs.",other_finance,operational_failure,general,low,0,0,0,0
ObjectId(625763eb343edc875fe63a8c),143,2021-02-16,Facebook’s and Twitter's Automated Content Moderation Reportedly Failed to Effectively Enforce Violation Rules for Small Language Groups,"Facebook's and Twitter were not able to sufficiently moderate content of small language groups such as the Balkan languages using AI, allegedly due to the lack of investment in human moderation and difficulty in AI-solution design for the languages.","[""facebook"",""twitter""]","[""facebook"",""twitter""]","[""facebook-users-of-small-language-groups"",""twitter-users-of-small-language-groups""]",[1482],2021,"facebook’s and twitter's automated content moderation reportedly failed to effectively enforce violation rules for small language groups facebook's and twitter were not able to sufficiently moderate content of small language groups such as the balkan languages using ai, allegedly due to the lack of investment in human moderation and difficulty in ai-solution design for the languages.",other_finance,regulatory_violation,general,medium,0,0,0,0
ObjectId(625763eb343edc875fe63a90),147,2020-01-01,Hong Kong Bank Manager Swindled by Fraudsters Using Deepfaked Voice of Company Director,"In early 2020, fraudsters reportedly allegedly deepfaked the voice of a company's director, demanding a bank manager in Hong Kong to authorize a $35M transfer.","[""scammers""]","[""unknown""]","[""hong-kong-bank-manager""]","[1496,1497]",2020,"hong kong bank manager swindled by fraudsters using deepfaked voice of company director in early 2020, fraudsters reportedly allegedly deepfaked the voice of a company's director, demanding a bank manager in hong kong to authorize a $35m transfer.",fraud_detection,other,general,low,0,0,0,0
ObjectId(625763ec343edc875fe63a97),154,2022-01-26,Justice Department’s Recidivism Risk Algorithm PATTERN Allegedly Caused Persistent Disparities Along Racial Lines,"Department of Justice’s inmate-recidivism risk assessment tool was reported to have produced racially uneven results, misclassifying risk levels for inmates of color.","[""us-department-of-justice""]","[""us-department-of-justice""]","[""inmates-of-color""]",[1512],2022,"justice department’s recidivism risk algorithm pattern allegedly caused persistent disparities along racial lines department of justice’s inmate-recidivism risk assessment tool was reported to have produced racially uneven results, misclassifying risk levels for inmates of color.",risk_assessment,algorithmic_bias,sme,low,0,0,0,0
ObjectId(6297936efc298401e1ba35c0),203,2022-02-10,Uber Launched Opaque Algorithm That Changes Drivers' Payments in the US,"Uber launched a new but opaque algorithm to determine drivers' pay in the US which allegedly caused drivers to experience lower fares, confusing fare drops, and a decrease in rides.","[""uber""]","[""uber""]","[""uber-drivers""]","[1659,1660,1661]",2022,"uber launched opaque algorithm that changes drivers' payments in the us uber launched a new but opaque algorithm to determine drivers' pay in the us which allegedly caused drivers to experience lower fares, confusing fare drops, and a decrease in rides.",other_finance,other,general,low,0,0,0,0
ObjectId(6286854a3a32758144dd5fa7),189,2019-10-15,Opaque Fraud Detection Algorithm by the UK’s Department of Work and Pensions Allegedly Discriminated against People with Disabilities,People with disabilities were allegedly disproportionately targeted by a benefit fraud detection algorithm which the UK’s Department of Work and Pensions was urged to disclose.,"[""uk-department-of-work-and-pensions""]","[""uipath""]","[""people-with-disabilities""]","[1609,1670,1671,1672,1673,1674]",2019,opaque fraud detection algorithm by the uk’s department of work and pensions allegedly discriminated against people with disabilities people with disabilities were allegedly disproportionately targeted by a benefit fraud detection algorithm which the uk’s department of work and pensions was urged to disclose.,fraud_detection,algorithmic_bias,general,low,0,0,0,0
ObjectId(628ae659d50929fc8d419df7),196,2013-09-01,Compromise of National Biometric ID Card System Leads to Reverification and Change of Status,"When the leader of the Afghan Taliban was found possessing a valid ID card in the Pakistani national biometric identification database system, Pakistan launch a national re-verification campaign that is linked to numerous changes in recognition status and loss of services.","[""pakistan-national-database-and-registration-authority""]","[""pakistan-national-database-and-registration-authority""]","[""pakistani-citizens""]","[1633,1634,1635,1636,1637]",2013,"compromise of national biometric id card system leads to reverification and change of status when the leader of the afghan taliban was found possessing a valid id card in the pakistani national biometric identification database system, pakistan launch a national re-verification campaign that is linked to numerous changes in recognition status and loss of services.",other_finance,other,general,low,0,0,0,0
ObjectId(62a7205b15d14c6d6ceba1a5),235,2016-04-15,"Chinese Insurer Ping An Employed Facial Recognition to Determine Customers’ Untrustworthiness, Which Critics Alleged to Likely Make Errors and Discriminate","Customers’ untrustworthiness and unprofitability were reportedly determined by Ping An, a large insurance company in China, via facial-recognition measurements of micro-expressions and body-mass indices (BMI), which critics argue was likely to make mistakes, discriminate against certain ethnic groups, and undermine its own industry.","[""ping-an""]","[""ping-an""]","[""ping-an-customers"",""chinese-minority-groups""]",[1756],2016,"chinese insurer ping an employed facial recognition to determine customers’ untrustworthiness, which critics alleged to likely make errors and discriminate customers’ untrustworthiness and unprofitability were reportedly determined by ping an, a large insurance company in china, via facial-recognition measurements of micro-expressions and body-mass indices (bmi), which critics argue was likely to make mistakes, discriminate against certain ethnic groups, and undermine its own industry.",risk_assessment,algorithmic_bias,retail,low,0,0,0,0
ObjectId(62a1ab6756a7be53bb9096a4),224,2020-07-01,WeChat Pay's Facial Recognition Security Evaded by Scammers Using Victims’ Social Media Content,"In China, fraudsters bypassed facial-recognition security for online financial transactions on WeChat Pay by crafting identity-verification GIFs of victims from their selfies on WeChat Moments, a social media platform.","[""wechat-pay""]","[""wechat""]","[""wechat-pay-users""]",[1738],2020,"wechat pay's facial recognition security evaded by scammers using victims’ social media content in china, fraudsters bypassed facial-recognition security for online financial transactions on wechat pay by crafting identity-verification gifs of victims from their selfies on wechat moments, a social media platform.",fraud_detection,other,general,low,1,0,0,0
ObjectId(62a1b2ba9b0df3a9e564faf2),225,2017-04-07,IBM Watson for Oncology Criticized by Customers for Allegedly Unsafe and Inaccurate Cancer Treatment Recommendations,Internal documents from IBM Watson Health showed negative assessments from customers such as Florida’s Jupiter Hospital and Memorial Sloan Kettering criticizing its Watson for Oncology product for allegedly unsafe and incorrect cancer treatment recommendations.,"[""jupiter-hospital"",""memorial-sloan-kettering""]","[""ibm-watson-health""]","[""oncologists"",""cancer-patients""]","[1739,1740]",2017,ibm watson for oncology criticized by customers for allegedly unsafe and inaccurate cancer treatment recommendations internal documents from ibm watson health showed negative assessments from customers such as florida’s jupiter hospital and memorial sloan kettering criticizing its watson for oncology product for allegedly unsafe and incorrect cancer treatment recommendations.,credit_scoring,other,sme,low,0,0,0,0
