_id,incident_id,occurred_date,title,summary,deployer,developer,harmed_parties,reports,year,text,application_type,incident_type,customer_segment,severity_level,regulatory_investigation,fine_imposed,policy_change,third_party_audit
ObjectId(625763dd343edc875fe63a08),10,2014-08-14,Kronos Scheduling Algorithm Allegedly Caused Financial Issues for Starbucks Employees,"Kronos’s scheduling algorithm and its use by Starbucks managers allegedly negatively impacted financial and scheduling stability for Starbucks employees, which disadvantaged wage workers.","[""starbucks""]","[""kronos""]","[""starbucks-employees""]","[16,17,18,19,20,21,22,23,24,25]",2014,"kronos scheduling algorithm allegedly caused financial issues for starbucks employees kronos’s scheduling algorithm and its use by starbucks managers allegedly negatively impacted financial and scheduling stability for starbucks employees, which disadvantaged wage workers.",other_finance,other,general,low,0,0,0,0
ObjectId(625763df343edc875fe63a1a),28,2010-05-08,2010 Market Flash Crash,A modified algorithm was able to cause dramatic price volatility and disrupted trading in the US stock exchange.,"[""navinder-sarao"",""waddell-and-reed"",""barclays-capital""]","[""navinder-sarao"",""waddell-and-reed"",""barclays-capital""]","[""market-participants""]","[390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419]",2010,2010 market flash crash a modified algorithm was able to cause dramatic price volatility and disrupted trading in the us stock exchange.,algorithmic_trading,operational_failure,general,low,0,0,0,0
ObjectId(625763e5343edc875fe63a59),92,2019-11-11,Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women,"Apple Card's credit assessment algorithm was reported by Goldman-Sachs customers to have shown gender bias, in which men received significantly higher credit limits than women with equal credit qualifications.","[""goldman-sachs""]","[""apple""]","[""apple-card-female-users"",""apple-card-female-credit-applicants""]","[1393,1396,2035,2036,2037,2274]",2019,"apple card's credit assessment algorithm allegedly discriminated against women apple card's credit assessment algorithm was reported by goldman-sachs customers to have shown gender bias, in which men received significantly higher credit limits than women with equal credit qualifications.",other_finance,algorithmic_bias,retail,low,0,0,0,0
ObjectId(625763e6343edc875fe63a62),101,2018-09-01,Dutch Families Wrongfully Accused of Tax Fraud Due to Discriminatory Algorithm,"A childcare benefits system in the Netherlands falsely accused thousands of families of fraud, in part due to an algorithm that treated having a second nationality as a risk factor.","[""dutch-tax-authority""]","[""unknown""]","[""dutch-tax-authority"",""dutch-families""]","[1404,1575,1863,2570,2805,2845]",2018,"dutch families wrongfully accused of tax fraud due to discriminatory algorithm a childcare benefits system in the netherlands falsely accused thousands of families of fraud, in part due to an algorithm that treated having a second nationality as a risk factor.",fraud_detection,algorithmic_bias,general,medium,1,0,0,0
ObjectId(625763ec343edc875fe63a95),152,2021-07-13,"SoftBank's Humanoid Robot, Pepper, Reportedly Frequently Made Errors, Prompting Dismissal","SoftBank's robot allegedly kept making mechanical errors, taking unplanned breaks, failing to recognize previously-met people, and breaking down during practice runs.","[""softbank""]","[""aldebaran"",""softbank-robotics""]","[""softbank""]","[1509,1510]",2021,"softbank's humanoid robot, pepper, reportedly frequently made errors, prompting dismissal softbank's robot allegedly kept making mechanical errors, taking unplanned breaks, failing to recognize previously-met people, and breaking down during practice runs.",other_finance,operational_failure,general,low,0,0,0,0
ObjectId(625763eb343edc875fe63a90),147,2020-01-01,Hong Kong Bank Manager Swindled by Fraudsters Using Deepfaked Voice of Company Director,"In early 2020, fraudsters reportedly allegedly deepfaked the voice of a company's director, demanding a bank manager in Hong Kong to authorize a $35M transfer.","[""scammers""]","[""unknown""]","[""hong-kong-bank-manager""]","[1496,1497]",2020,"hong kong bank manager swindled by fraudsters using deepfaked voice of company director in early 2020, fraudsters reportedly allegedly deepfaked the voice of a company's director, demanding a bank manager in hong kong to authorize a $35m transfer.",fraud_detection,other,general,low,0,0,0,0
ObjectId(625763ec343edc875fe63a97),154,2022-01-26,Justice Department’s Recidivism Risk Algorithm PATTERN Allegedly Caused Persistent Disparities Along Racial Lines,"Department of Justice’s inmate-recidivism risk assessment tool was reported to have produced racially uneven results, misclassifying risk levels for inmates of color.","[""us-department-of-justice""]","[""us-department-of-justice""]","[""inmates-of-color""]",[1512],2022,"justice department’s recidivism risk algorithm pattern allegedly caused persistent disparities along racial lines department of justice’s inmate-recidivism risk assessment tool was reported to have produced racially uneven results, misclassifying risk levels for inmates of color.",risk_assessment,other,sme,low,0,0,0,0
ObjectId(6297936efc298401e1ba35c0),203,2022-02-10,Uber Launched Opaque Algorithm That Changes Drivers' Payments in the US,"Uber launched a new but opaque algorithm to determine drivers' pay in the US which allegedly caused drivers to experience lower fares, confusing fare drops, and a decrease in rides.","[""uber""]","[""uber""]","[""uber-drivers""]","[1659,1660,1661]",2022,"uber launched opaque algorithm that changes drivers' payments in the us uber launched a new but opaque algorithm to determine drivers' pay in the us which allegedly caused drivers to experience lower fares, confusing fare drops, and a decrease in rides.",other_finance,other,general,low,0,0,0,0
ObjectId(628b0ea3db7d62b8a823c307),200,2019-03-01,Fraudsters Used AI to Mimic Voice of a UK-Based Firm's CEO's Boss,"Fraudsters allegedly used AI voice technology to impersonate the boss of a UK-based firm's CEO, demanding a transfer of €220,000 over the phone.","[""scammers""]","[""unknown""]","[""unnamed-uk-based-energy-firm's-ceo""]",[1653],2019,"fraudsters used ai to mimic voice of a uk-based firm's ceo's boss fraudsters allegedly used ai voice technology to impersonate the boss of a uk-based firm's ceo, demanding a transfer of €220,000 over the phone.",fraud_detection,other,general,low,0,0,0,0
ObjectId(629791afc7e109ab6bc28b6f),202,2021-12-06,Korean Politician Employed Deepfake as Campaign Representative,A South Korean political candidate created a deepfake avatar which political opponents alleged to be fraudulent and a threat to democracy.,"[""yoon-suk-yeol"",""yoon-suk-yeol's-campaign""]","[""unknown""]","[""korean-public""]","[1655,1656,1657,1658,1721]",2021,korean politician employed deepfake as campaign representative a south korean political candidate created a deepfake avatar which political opponents alleged to be fraudulent and a threat to democracy.,fraud_detection,other,general,low,0,0,0,0
ObjectId(6286854a3a32758144dd5fa7),189,2019-10-15,Opaque Fraud Detection Algorithm by the UK’s Department of Work and Pensions Allegedly Discriminated against People with Disabilities,People with disabilities were allegedly disproportionately targeted by a benefit fraud detection algorithm which the UK’s Department of Work and Pensions was urged to disclose.,"[""uk-department-of-work-and-pensions""]","[""uipath""]","[""people-with-disabilities""]","[1609,1670,1671,1672,1673,1674]",2019,opaque fraud detection algorithm by the uk’s department of work and pensions allegedly discriminated against people with disabilities people with disabilities were allegedly disproportionately targeted by a benefit fraud detection algorithm which the uk’s department of work and pensions was urged to disclose.,fraud_detection,algorithmic_bias,general,low,0,0,0,0
ObjectId(62a7205b15d14c6d6ceba1a5),235,2016-04-15,"Chinese Insurer Ping An Employed Facial Recognition to Determine Customers’ Untrustworthiness, Which Critics Alleged to Likely Make Errors and Discriminate","Customers’ untrustworthiness and unprofitability were reportedly determined by Ping An, a large insurance company in China, via facial-recognition measurements of micro-expressions and body-mass indices (BMI), which critics argue was likely to make mistakes, discriminate against certain ethnic groups, and undermine its own industry.","[""ping-an""]","[""ping-an""]","[""ping-an-customers"",""chinese-minority-groups""]",[1756],2016,"chinese insurer ping an employed facial recognition to determine customers’ untrustworthiness, which critics alleged to likely make errors and discriminate customers’ untrustworthiness and unprofitability were reportedly determined by ping an, a large insurance company in china, via facial-recognition measurements of micro-expressions and body-mass indices (bmi), which critics argue was likely to make mistakes, discriminate against certain ethnic groups, and undermine its own industry.",risk_assessment,algorithmic_bias,retail,low,0,0,0,0
ObjectId(62a1ab6756a7be53bb9096a4),224,2020-07-01,WeChat Pay's Facial Recognition Security Evaded by Scammers Using Victims’ Social Media Content,"In China, fraudsters bypassed facial-recognition security for online financial transactions on WeChat Pay by crafting identity-verification GIFs of victims from their selfies on WeChat Moments, a social media platform.","[""wechat-pay""]","[""wechat""]","[""wechat-pay-users""]",[1738],2020,"wechat pay's facial recognition security evaded by scammers using victims’ social media content in china, fraudsters bypassed facial-recognition security for online financial transactions on wechat pay by crafting identity-verification gifs of victims from their selfies on wechat moments, a social media platform.",fraud_detection,other,general,low,1,0,0,0
ObjectId(62a1b2ba9b0df3a9e564faf2),225,2017-04-07,IBM Watson for Oncology Criticized by Customers for Allegedly Unsafe and Inaccurate Cancer Treatment Recommendations,Internal documents from IBM Watson Health showed negative assessments from customers such as Florida’s Jupiter Hospital and Memorial Sloan Kettering criticizing its Watson for Oncology product for allegedly unsafe and incorrect cancer treatment recommendations.,"[""jupiter-hospital"",""memorial-sloan-kettering""]","[""ibm-watson-health""]","[""oncologists"",""cancer-patients""]","[1739,1740]",2017,ibm watson for oncology criticized by customers for allegedly unsafe and inaccurate cancer treatment recommendations internal documents from ibm watson health showed negative assessments from customers such as florida’s jupiter hospital and memorial sloan kettering criticizing its watson for oncology product for allegedly unsafe and incorrect cancer treatment recommendations.,other_finance,other,retail,low,0,0,0,0
ObjectId(62f2041455716343a41ffd1a),274,2003-07-01,Virginia Courts’ Algorithmic Recidivism Risk Assessment Failed to Lower Incarceration Rates,"Virginia courts’ use of algorithmic predictions of future offending risks were found by researchers failing to reduce incarceration rates, showed racial and age disparities in risk scores and its application, and neither exacerbated or ameliorated historical racial differences in sentencing.","[""virginia-courts""]","[""virginia-department-of-criminal-justice-services""]","[""virginia-convicted-felons"",""virginia-black-offenders"",""virginia-young-offenders""]","[1857,1859]",2003,"virginia courts’ algorithmic recidivism risk assessment failed to lower incarceration rates virginia courts’ use of algorithmic predictions of future offending risks were found by researchers failing to reduce incarceration rates, showed racial and age disparities in risk scores and its application, and neither exacerbated or ameliorated historical racial differences in sentencing.",risk_assessment,other,sme,low,0,0,0,0
ObjectId(633412840b988074a09c7ee0),335,2015-03-01,UK Visa Streamline Algorithm Allegedly Discriminated Based on Nationality,"UK Home Office's algorithm to assess visa application risks explicitly considered nationality, allegedly caused candidates to face more scrutiny and discrimination.","[""uk-visas-and-immigration""]","[""uk-visas-and-immigration"",""uk-home-office""]","[""uk-visa-applicants-from-some-countries""]","[2047,2090,2091,2092,2122,2123,2124,2125]",2015,"uk visa streamline algorithm allegedly discriminated based on nationality uk home office's algorithm to assess visa application risks explicitly considered nationality, allegedly caused candidates to face more scrutiny and discrimination.",fraud_detection,algorithmic_bias,general,low,0,0,0,0
